scenario_id,RI,algorithm_id,failure_reason,replan_count,success,travel_time,hazard_exposure,hazard_score,steps,distance,runtime
la_trinidad_mini_000000,RI1,DQN@balanced_HF,,0,1.0,33.044175330444,3992.824910211542,8799.99508370058,52.0,11130.764863458387,55.273600039072335
la_trinidad_mini_000001,RI1,DQN@balanced_HF,,0,1.0,19.895930788660056,2251.3001611285677,4908.428515071385,53.0,6896.873213134534,19.195000000763685
la_trinidad_mini_000002,RI1,DQN@balanced_HF,,0,1.0,30.26693572510944,4752.481322452294,9660.388048204726,36.0,9395.265766699074,13.99830001173541
la_trinidad_mini_000003,RI1,DQN@balanced_HF,,0,1.0,24.62077745997289,3372.402295376051,7101.4424148107955,44.0,8021.044198781861,17.472000035922974
la_trinidad_mini_000004,RI1,DQN@balanced_HF,,0,1.0,36.406838573515195,4450.457576264493,10045.764259372107,55.0,12088.33199986609,21.537000022362918
la_trinidad_mini_000005,RI1,DQN@balanced_HF,,0,1.0,29.788376512917708,4481.873009787614,9594.901038550743,37.0,9203.086441795951,14.960300002712756
la_trinidad_mini_000006,RI1,DQN@balanced_HF,,0,1.0,27.908255342896013,3959.2567928346357,8225.576427474334,33.0,9004.091797423958,17.91860000230372
la_trinidad_mini_000007,RI1,DQN@balanced_HF,,0,1.0,22.40112487251011,2475.729015276308,5589.074168104009,49.0,7733.9916060277465,25.73080000001937
la_trinidad_mini_000008,RI1,DQN@balanced_HF,,0,1.0,23.231544289886134,3065.210434076254,6831.734297541128,49.0,7502.9586674759175,24.86890001455322
la_trinidad_mini_000009,RI1,DQN@balanced_HF,,0,1.0,38.25316253484455,4768.697077619067,10801.27676039592,51.0,12578.348011178978,23.02580000832677
la_trinidad_mini_000010,RI1,DQN@balanced_HF,,0,1.0,31.526718296761477,4555.252241977594,9754.814266205613,44.0,9940.150466375087,17.92280003428459
la_trinidad_mini_000011,RI1,DQN@balanced_HF,,0,1.0,14.852524231678863,1659.619361834492,3848.6501706783897,35.0,5056.36130354987,12.756199983414263
la_trinidad_mini_000012,RI1,DQN@balanced_HF,timeout,0,0.0,,,,,,82.0285000372678
la_trinidad_mini_000013,RI1,DQN@balanced_HF,,0,1.0,27.63458293629268,4145.447176453618,9141.984787379368,42.0,8417.261586367875,19.956499978434294
la_trinidad_mini_000014,RI1,DQN@balanced_HF,,0,1.0,20.928312887466255,2972.9528264473215,6179.715653090003,36.0,6746.44923056414,18.932599981781095
la_trinidad_mini_000015,RI1,DQN@balanced_HF,,0,1.0,25.76528567578092,3005.907065200437,6742.485298296806,49.0,8738.44161846863,18.520500045269728
la_trinidad_mini_000016,RI1,DQN@balanced_HF,,0,1.0,20.429633721106857,2154.1505865418826,4995.167546141339,51.0,7104.3440758495535,17.16899999883026
la_trinidad_mini_000017,RI1,DQN@balanced_HF,,0,1.0,28.443911264007056,3395.635128799816,7593.7332932295085,50.0,9571.771647468562,18.739100021775812
la_trinidad_mini_000018,RI1,DQN@balanced_HF,,0,1.0,29.522060840064583,4017.1472667949183,8728.365025214716,63.0,9511.186082222994,24.99050000915304
la_trinidad_mini_000019,RI1,DQN@balanced_HF,,0,1.0,34.38269039980409,4998.633431774639,11148.373978244228,41.0,10585.67749878581,14.082799956668168
la_trinidad_mini_000020,RI2,DQN@balanced_HF,,0,1.0,24.989478796839638,2258.321250416878,5263.898273379314,63.0,8613.316321888178,25.721599988173693
la_trinidad_mini_000021,RI2,DQN@balanced_HF,,0,1.0,21.143516881369614,2158.823421282161,5140.476181087728,44.0,6944.3445060724625,17.947599990293384
la_trinidad_mini_000022,RI2,DQN@balanced_HF,,0,1.0,13.91444418169493,1368.5485400250564,3129.1761093947994,42.0,4696.911827065319,18.186200002674013
la_trinidad_mini_000023,RI2,DQN@balanced_HF,,0,1.0,29.86215270054348,3456.647748605886,7841.733778902635,49.0,9517.101825793246,23.79010000731796
la_trinidad_mini_000024,RI2,DQN@balanced_HF,,0,1.0,36.29700910695603,3812.2413864077107,8975.350810142736,73.0,11845.978693058845,36.78669995861128
la_trinidad_mini_000025,RI2,DQN@balanced_HF,timeout,0,0.0,,,,,,103.6274999496527
la_trinidad_mini_000026,RI2,DQN@balanced_HF,,0,1.0,44.34159885204965,5730.378275413566,12758.816154073578,61.0,13574.311406385554,29.79980001691729
la_trinidad_mini_000027,RI2,DQN@balanced_HF,timeout,0,0.0,,,,,,105.13909999281168
la_trinidad_mini_000028,RI2,DQN@balanced_HF,timeout,0,0.0,,,,,,100.36129999207333
la_trinidad_mini_000029,RI2,DQN@balanced_HF,timeout,0,0.0,,,,,,85.48499998869374
la_trinidad_mini_000030,RI2,DQN@balanced_HF,,0,1.0,29.148739577711748,3280.925370790138,7258.484184883501,62.0,9487.690717528536,26.11189999151975
la_trinidad_mini_000031,RI2,DQN@balanced_HF,,0,1.0,30.68711032721596,3420.3055878448936,8009.277521206307,49.0,9804.560886644027,19.825000024866313
la_trinidad_mini_000032,RI2,DQN@balanced_HF,timeout,0,0.0,,,,,,94.68169999308884
la_trinidad_mini_000033,RI2,DQN@balanced_HF,,0,1.0,25.560675553222204,3070.52186122507,6900.350898166152,49.0,8052.128549866915,24.014300026465207
la_trinidad_mini_000034,RI2,DQN@balanced_HF,,0,1.0,22.045953454580538,2741.590160814901,6089.1136362588295,45.0,6876.122236431826,18.855799979064614
la_trinidad_mini_000035,RI2,DQN@balanced_HF,,0,1.0,18.21073659119902,1677.3069016049947,4026.5029902005554,45.0,6181.57997093928,20.77489998191595
la_trinidad_mini_000036,RI2,DQN@balanced_HF,,0,1.0,17.69625723555291,1794.1629894489508,4185.165363247927,47.0,5870.733074374845,21.962700004223734
la_trinidad_mini_000037,RI2,DQN@balanced_HF,,0,1.0,43.88292544571077,4872.362751341049,11346.826546280316,77.0,14073.903177429687,38.64009998505935
la_trinidad_mini_000038,RI2,DQN@balanced_HF,,0,1.0,51.00017443978799,6201.300134774208,14101.50661824106,84.0,15899.325188784065,44.097599980887026
la_trinidad_mini_000039,RI2,DQN@balanced_HF,,0,1.0,24.539206384419206,2188.7024886322456,5337.700651026623,51.0,8373.79254747533,20.230099966283888
la_trinidad_mini_000040,RI3,DQN@balanced_HF,,0,1.0,77.84248414239953,6280.797981937424,15554.763078185291,217.0,25305.674221427133,72.21089996164665
la_trinidad_mini_000041,RI3,DQN@balanced_HF,,0,1.0,31.4594040044554,2748.302849258763,6632.307589025862,66.0,10054.092907380613,21.99600002495572
la_trinidad_mini_000042,RI3,DQN@balanced_HF,,0,1.0,17.13749511338655,1418.9722297334763,3395.997892867801,39.0,5585.4364767553825,13.453399995341897
la_trinidad_mini_000043,RI3,DQN@balanced_HF,,0,1.0,11.041503987319274,658.7781417731555,1560.2158634546513,38.0,3912.5312628833653,13.208699994720519
la_trinidad_mini_000044,RI3,DQN@balanced_HF,,0,1.0,23.793922674611128,2082.9540395284043,5009.13119833309,49.0,7607.851537543183,15.766999975312501
la_trinidad_mini_000045,RI3,DQN@balanced_HF,,0,1.0,18.352376924837515,1487.39299712963,3649.7977101865586,41.0,5974.861337962663,13.24559998465702
la_trinidad_mini_000046,RI3,DQN@balanced_HF,,0,1.0,14.426882044855422,1085.829996445151,2501.1436597596257,38.0,4880.853039183741,12.28239998454228
la_trinidad_mini_000047,RI3,DQN@balanced_HF,,0,1.0,17.754883478730026,1319.0674621427831,3119.1032932516177,46.0,5986.273831834451,15.525099996011704
la_trinidad_mini_000048,RI3,DQN@balanced_HF,,0,1.0,12.44650225889666,978.0937893636748,2400.3994054053283,29.0,4089.563757328416,9.856700024101883
la_trinidad_mini_000049,RI3,DQN@balanced_HF,timeout,0,0.0,,,,,,70.93649997841567
la_trinidad_mini_000050,RI3,DQN@balanced_HF,,0,1.0,13.170802796027685,1116.2452514590536,2708.5789641822143,25.0,4243.301706220658,8.647500013466924
la_trinidad_mini_000051,RI3,DQN@balanced_HF,,0,1.0,13.343462984347575,1059.2883229741733,2484.9204221299683,36.0,4428.511557282734,11.736600019503385
la_trinidad_mini_000052,RI3,DQN@balanced_HF,,0,1.0,32.63955105614929,2931.8030991907813,7123.210626825467,58.0,10310.203885450714,19.458699971437454
la_trinidad_mini_000053,RI3,DQN@balanced_HF,,0,1.0,23.849369766516517,1956.4789648331637,4807.7031462550685,50.0,7732.130577641985,17.644900013692677
la_trinidad_mini_000054,RI3,DQN@balanced_HF,,0,1.0,17.420236100877656,1408.393826748544,3358.8400831285567,47.0,5724.180301308725,16.17180003086105
la_trinidad_mini_000055,RI3,DQN@balanced_HF,,0,1.0,7.530432339206082,500.8763686757913,1209.40412698169,27.0,2595.73168067174,8.793899964075536
la_trinidad_mini_000056,RI3,DQN@balanced_HF,,0,1.0,12.483393562624899,1068.9291387394876,2554.1538914770686,30.0,4028.3653183770475,10.382500011473894
la_trinidad_mini_000057,RI3,DQN@balanced_HF,,0,1.0,23.838694186797813,2107.0477663525526,5175.169628557199,48.0,7543.860215110471,15.759099973365664
la_trinidad_mini_000058,RI3,DQN@balanced_HF,,0,1.0,28.012279021262323,2138.476631882532,5253.741792382151,161.0,9278.347687845411,53.455800050869584
la_trinidad_mini_000059,RI3,DQN@balanced_HF,timeout,0,0.0,,,,,,76.18600002024323
la_trinidad_mini_000060,RI4,DQN@balanced_HF,,0,1.0,28.753286203411903,901.9059560243674,2174.0980966293205,38.0,4663.60819236772,14.081800007261336
la_trinidad_mini_000061,RI4,DQN@balanced_HF,,0,1.0,19.27778502886531,670.3070664937537,1579.0901138250142,23.0,3066.0119488605546,8.119400008581579
la_trinidad_mini_000062,RI4,DQN@balanced_HF,,0,1.0,17.95822985451116,598.9969246663275,1371.3910228219152,27.0,2905.950459491274,10.200099961366504
la_trinidad_mini_000063,RI4,DQN@balanced_HF,,0,1.0,24.67451009436114,828.7346295713581,1893.0467900218496,35.0,3988.3786238613025,15.538000036031008
la_trinidad_mini_000064,RI4,DQN@balanced_HF,,0,1.0,13.845912746730162,390.4803079314531,927.1530696163826,30.0,2305.606014537841,12.821700016502291
la_trinidad_mini_000065,RI4,DQN@balanced_HF,timeout,0,0.0,,,,,,81.88150002388284
la_trinidad_mini_000066,RI4,DQN@balanced_HF,,0,1.0,33.759268733339546,1124.4364560887918,2688.6524683142043,45.0,5407.527512510807,19.1612999769859
la_trinidad_mini_000067,RI4,DQN@balanced_HF,,0,1.0,25.805742096601403,840.5868573683168,2014.7376524425547,42.0,4153.779593099003,17.477399960625917
la_trinidad_mini_000068,RI4,DQN@balanced_HF,,0,1.0,22.840079117222423,782.6850074637333,1844.0664606194798,33.0,3645.9825931347445,11.236099991947412
la_trinidad_mini_000069,RI4,DQN@balanced_HF,timeout,0,0.0,,,,,,75.3344000549987
la_trinidad_mini_000070,RI4,DQN@balanced_HF,,0,1.0,11.853254304779128,327.5925757379102,800.9367310040543,28.0,1970.1824954537983,10.130699956789613
la_trinidad_mini_000071,RI4,DQN@balanced_HF,,0,1.0,26.978266287412396,917.8219044487357,2185.8375059580258,36.0,4302.734504503466,12.317100015934557
la_trinidad_mini_000072,RI4,DQN@balanced_HF,,0,1.0,32.85036714111285,1105.4298103728913,2555.8035734795913,41.0,5292.171641482773,16.19260001461953
la_trinidad_mini_000073,RI4,DQN@balanced_HF,,0,1.0,30.607572737665876,949.4630117367378,2251.218857434068,46.0,4995.905118816141,17.927900014910847
la_trinidad_mini_000074,RI4,DQN@balanced_HF,,0,1.0,32.958578609916266,1039.086198401915,2510.98600502655,48.0,5336.222719469979,20.75729996431619
la_trinidad_mini_000075,RI4,DQN@balanced_HF,,0,1.0,24.044157946123935,709.7457195893285,1693.6975055417229,32.0,3961.9828364539258,11.664200050290674
la_trinidad_mini_000076,RI4,DQN@balanced_HF,timeout,0,0.0,,,,,,75.04159997915849
la_trinidad_mini_000077,RI4,DQN@balanced_HF,,0,1.0,30.788320494353073,989.0266840056713,2359.9206519743248,47.0,4977.703772883452,16.561900032684207
la_trinidad_mini_000078,RI4,DQN@balanced_HF,,0,1.0,31.781839657336906,1075.3903485297913,2532.0194890620114,46.0,5090.358186936375,16.03260001866147
la_trinidad_mini_000079,RI4,DQN@balanced_HF,,0,1.0,15.45333238828278,466.6001434844907,1116.5480779118482,27.0,2532.392438700632,9.851299982983619
la_trinidad_mini_000080,RI5,DQN@balanced_HF,,0,1.0,4.99509503776235,40.53128749822369,89.0165765690247,9.0,455.0012154917227,3.6869000177830458
la_trinidad_mini_000081,RI5,DQN@balanced_HF,,0,1.0,4.2671776446942244,46.1698025277287,83.93882014336648,8.0,384.7483543977392,2.9357000021263957
la_trinidad_mini_000082,RI5,DQN@balanced_HF,,0,1.0,6.765580036943604,60.00629848095438,118.53006002643066,13.0,617.2929736811451,4.580300010275096
la_trinidad_mini_000083,RI5,DQN@balanced_HF,timeout,0,0.0,,,,,,73.99559998884797
la_trinidad_mini_000084,RI5,DQN@balanced_HF,,0,1.0,4.9908210060524905,54.06409374254614,97.09597216806223,9.0,450.53411452121793,3.266099956817925
la_trinidad_mini_000085,RI5,DQN@balanced_HF,,0,1.0,4.104830189180976,43.774473713578246,91.39147594322448,9.0,364.7872809464854,3.2544999849051237
la_trinidad_mini_000086,RI5,DQN@balanced_HF,,0,1.0,7.104239877698635,63.54014029752861,127.36466456786626,12.0,646.7416554859303,4.269000026397407
la_trinidad_mini_000087,RI5,DQN@balanced_HF,,0,1.0,6.473602599638105,56.660460900504646,115.89853223949298,11.0,589.410993844064,3.9222000050358474
