algorithm_id,bucket,n,success_mean,success_stdev,success_min,success_max,travel_time_mean,travel_time_stdev,travel_time_min,travel_time_max,hazard_exposure_mean,hazard_exposure_stdev,hazard_exposure_min,hazard_exposure_max,hazard_score_mean,hazard_score_stdev,hazard_score_min,hazard_score_max,steps_mean,steps_stdev,steps_min,steps_max,distance_mean,distance_stdev,distance_min,distance_max,runtime_mean,runtime_stdev,runtime_min,runtime_max,robustness_success,robustness_travel_time,robustness_hazard_exposure,robustness_hazard_score,robustness_steps,robustness_distance,robustness_runtime,failure_counts
DQN@balanced_HF,RI1,20,0.95,0.21794494717703367,0.0,1.0,27.331728509669414,5.952797658402123,14.852524231678863,38.25316253484455,3603.946193729029,970.1482831390814,1659.619361834492,4998.633431774639,7878.51952798451,2070.2764139702417,3848.6501706783897,11148.373978244228,45.78947368421053,7.837688618520541,33.0,63.0,8906.65263555237,1846.1716462173817,5056.36130354987,12578.348011178978,23.95394000923261,15.889596091450107,12.756199983414263,82.0285000372678,,,,,,,,
DQN@balanced_HF,RI2,20,0.75,0.4330127018922193,0.0,1.0,28.887998635256913,10.415359019567322,13.91444418169493,51.00017443978799,3202.142591241847,1404.1072338087404,1368.5485400250564,6201.300134774208,7357.625314432804,3142.088707838686,3129.1761093947994,14101.50661824106,56.06666666666667,12.803471751399652,42.0,84.0,9320.786728649207,3145.4428551018823,4696.911827065319,15899.325188784065,43.80194999102969,32.136462828657535,17.947599990293384,105.13909999281168,,,,,,,,
DQN@balanced_HF,RI3,20,0.9,0.3,0.0,1.0,22.030204246850076,15.210910884529925,7.530432339206082,77.84248414239953,1797.0960476760301,1267.6514292459897,500.8763686757913,6280.797981937424,4361.032354021623,3151.2515716854596,1209.40412698169,15554.763078185291,58.05555555555556,48.34651799736084,25.0,217.0,7182.320627900469,4897.945888029768,2595.73168067174,25305.674221427133,24.83595499943476,22.272882032507518,8.647500013466924,76.18600002024323,,,,,,,,
DQN@balanced_HF,RI4,20,0.85,0.3570714214271425,0.0,1.0,24.95473549658978,6.892683846169871,11.853254304779128,33.759268733339546,806.9582118773867,240.49387711923973,327.5925757379102,1124.4364560887918,1911.7178865695835,570.0188313999652,800.9367310040543,2688.6524683142043,36.705882352941174,7.894634856380055,23.0,48.0,4035.0881560331645,1096.7566084534549,1970.1824954537983,5407.527512510807,23.616445003426634,22.872011396775207,8.119400008581579,81.88150002388284,,,,,,,,
DQN@balanced_HF,RI5,20,0.95,0.21794494717703367,0.0,1.0,5.389710592422598,1.2002805681098982,2.715270684976446,7.104239877698635,49.54222046931417,12.456594432324222,16.450037184641094,65.77916780639052,97.97464618034677,25.544252404349113,34.405877904887134,128.35722897363257,9.526315789473685,1.6973174206944315,6.0,13.0,489.9837361520864,108.63351928853119,254.32412954520103,646.7416554859303,7.242840004619211,15.326494186179529,2.4786999565549195,73.99559998884797,,,,,,,,
DQN@balanced_HF,all,100,0.88,0.32496153618543844,0.0,1.0,21.315926163112835,12.568615955380547,2.715270684976446,77.84248414239953,1858.1186045281856,1663.0059012799775,16.450037184641094,6280.797981937424,4237.676766701096,3737.9043282291186,34.405877904887134,15554.763078185291,40.46590909090909,29.193690501247776,6.0,217.0,5866.206385760171,4340.168905258037,254.32412954520103,25305.674221427133,24.69022600154858,25.34059487109767,2.4786999565549195,105.13909999281168,0.9149623321187741,0.6092534746810405,0.2819296964788548,0.3017980915832452,0.5730026551669549,0.4455503890898518,0.5306725522232456,timeout=12
DQN@fast_HF,RI1,20,0.85,0.3570714214271425,0.0,1.0,27.82233729098997,5.806001540350629,14.852524231678863,38.25316253484455,3737.15671192194,933.9332707325656,1659.619361834492,5172.672778855267,8152.530132035768,2020.7633878084928,3848.6501706783897,11595.77394894522,43.64705882352941,6.324008189809299,33.0,53.0,9000.233460747402,1792.3235563038431,5056.36130354987,12578.348011178978,31.807429995387793,31.269276710631633,12.91809999383986,116.98520003119484,,,,,,,,
DQN@fast_HF,RI2,20,0.8,0.4,0.0,1.0,35.61326553526638,27.272924036148602,13.91444418169493,123.46670260659006,4042.974357290155,3386.9254373749236,1368.5485400250564,15590.583512517826,8829.495297122203,6366.698079884953,3129.1761093947994,29192.49154924733,71.1875,54.957049991334145,42.0,220.0,11611.221842308765,9107.559598548429,4696.911827065319,40963.77039834185,48.95606000209227,39.63811861113262,18.988800002261996,129.35369997285306,,,,,,,,
DQN@fast_HF,RI3,20,0.95,0.21794494717703367,0.0,1.0,18.475452147775286,7.009137922253345,7.530432339206082,32.63955105614929,1518.44965500913,653.9330047347578,500.8763686757913,2931.8030991907813,3659.0525269217414,1597.0909280029477,1209.40412698169,7123.210626825467,42.8421052631579,12.227075899067252,25.0,71.0,6022.540899343625,2194.3335062408646,2595.73168067174,10310.203885450714,21.932349997223355,12.720895300747287,11.617999989539385,73.6192999756895,,,,,,,,
DQN@fast_HF,RI4,20,0.75,0.4330127018922193,0.0,1.0,22.549766955652345,5.839869183162478,11.364504171975389,32.958578609916266,716.0611256418813,206.68049711571786,317.39257296635384,1039.086198401915,1697.0726019907383,497.0306176802892,775.4367240751635,2510.98600502655,34.333333333333336,7.435649863252633,23.0,48.0,3661.4170901351,930.6796925681772,1885.182472357496,5336.222719469979,33.541835003416054,32.68861555117058,7.795099983923137,102.82019997248426,,,,,,,,
